                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.3383,                 1.5593,                 1.6093,                0.31309,                0.67294,                0.42588,                0.19292,                 1.7353,                 1.8269,                 2.0901,               0.008515,               0.008515,               0.008515
                     77,                 1.3356,                 1.5103,                 1.5516,                0.33745,                0.64462,                0.43948,                0.17811,                 1.7438,                 1.9595,                 2.1437,              0.0084952,              0.0084952,              0.0084952
                     78,                 1.3314,                 1.4875,                 1.6046,                0.46319,                0.55071,                0.43634,                0.20816,                 1.7586,                 2.0467,                 2.2228,              0.0084754,              0.0084754,              0.0084754
                     79,                 1.3354,                 1.4931,                 1.5634,                0.53048,                0.53647,                 0.4076,                0.21075,                 1.8186,                 2.0162,                 2.2817,              0.0084556,              0.0084556,              0.0084556
                     80,                 1.2894,                 1.4746,                 1.5578,                0.50885,                0.62834,                0.51193,                 0.2578,                 1.7488,                 1.6856,                 2.2015,              0.0084358,              0.0084358,              0.0084358
                     81,                 1.2892,                 1.4629,                 1.5626,                0.37397,                0.45882,                0.37072,                0.18524,                   1.73,                 1.8458,                 2.2071,               0.008416,               0.008416,               0.008416
                     82,                 1.2624,                  1.441,                 1.5112,                0.29831,                0.49601,                0.34907,                0.16298,                 1.7288,                 2.0778,                 2.2877,              0.0083962,              0.0083962,              0.0083962
                     83,                 1.3513,                 1.5158,                 1.6047,                0.49221,                0.58471,                0.43906,                0.22006,                 1.6274,                 1.6992,                 2.1357,              0.0083764,              0.0083764,              0.0083764
                     84,                 1.2897,                 1.4451,                 1.5514,                0.63028,                0.48361,                0.52337,                0.27875,                 1.6481,                 1.6474,                  2.107,              0.0083566,              0.0083566,              0.0083566
                     85,                 1.2631,                 1.4606,                 1.5234,                0.78224,                0.36202,                0.46507,                0.24103,                 1.6507,                 1.8298,                 2.1051,              0.0083368,              0.0083368,              0.0083368
                     86,                 1.2362,                 1.3543,                 1.4707,                0.55154,                0.38941,                0.49249,                0.24679,                 1.7565,                 1.9958,                 2.2441,               0.008317,               0.008317,               0.008317
                     87,                 1.2393,                 1.4094,                 1.5031,                 0.7533,                0.49241,                0.60713,                0.30439,                 1.7031,                 1.6594,                 2.1907,              0.0082972,              0.0082972,              0.0082972
                     88,                 1.2935,                 1.4725,                 1.5564,                 0.5889,                0.55647,                0.58254,                0.31452,                 1.6393,                 1.6088,                 2.0545,              0.0082774,              0.0082774,              0.0082774
                     89,                 1.2597,                 1.4188,                 1.5225,                0.47721,                0.80118,                 0.5759,                0.31384,                 1.5961,                 1.6731,                 1.9931,              0.0082576,              0.0082576,              0.0082576
                     90,                 1.2312,                 1.4249,                 1.5005,                0.53916,                0.62202,                0.57773,                0.31304,                 1.5711,                 1.6793,                 1.9876,              0.0082378,              0.0082378,              0.0082378
                     91,                 1.2385,                  1.419,                 1.4975,                0.44678,                0.51529,                0.47722,                0.25235,                 1.6267,                 1.8069,                 2.1188,               0.008218,               0.008218,               0.008218
                     92,                 1.2264,                 1.3871,                 1.5155,                0.42698,                0.57411,                0.48556,                0.27019,                 1.5236,                 1.7409,                 1.9777,              0.0081982,              0.0081982,              0.0081982
                     93,                 1.2651,                 1.3992,                 1.5444,                0.48969,                0.53529,                0.45724,                0.25812,                 1.5706,                 1.9474,                 2.0824,              0.0081784,              0.0081784,              0.0081784
                     94,                 1.2163,                  1.356,                 1.4768,                0.54487,                0.46706,                0.52579,                0.31546,                 1.4843,                 1.7772,                 2.0027,              0.0081586,              0.0081586,              0.0081586
                     95,                 1.2084,                 1.3485,                  1.482,                0.50187,                0.53647,                0.52313,                0.29946,                 1.5349,                 1.7554,                 2.0418,              0.0081388,              0.0081388,              0.0081388
                     96,                 1.2011,                 1.3227,                 1.4913,                0.52535,                0.59484,                0.55039,                 0.3341,                 1.4648,                 1.5621,                 2.0039,               0.008119,               0.008119,               0.008119
                     97,                 1.2653,                  1.421,                  1.558,                 0.5577,                0.66397,                0.55567,                0.29709,                 1.5005,                 1.6589,                 1.9183,              0.0080992,              0.0080992,              0.0080992
                     98,                 1.2571,                 1.4227,                 1.5572,                0.55027,                0.58034,                0.51473,                0.25555,                  1.667,                 1.8539,                 2.0356,              0.0080794,              0.0080794,              0.0080794
                     99,                  1.202,                 1.3782,                 1.4898,                0.52801,                0.54588,                0.54755,                0.25771,                 1.6415,                 1.8295,                 2.1342,              0.0080596,              0.0080596,              0.0080596
                    100,                 1.1706,                 1.3373,                  1.463,                0.67276,                0.44298,                0.53337,                0.26192,                 1.5381,                 1.7548,                 2.0305,              0.0080398,              0.0080398,              0.0080398
                    101,                 1.2413,                 1.2977,                 1.4973,                0.40221,                 0.5518,                0.43204,                0.21803,                 1.6998,                 1.8501,                 2.0248,                0.00802,                0.00802,                0.00802
                    102,                 1.2408,                 1.3354,                 1.5047,                0.36623,                0.62371,                0.43954,                0.23099,                 1.5511,                 1.9444,                 1.9377,              0.0080002,              0.0080002,              0.0080002
                    103,                 1.2138,                  1.326,                 1.4857,                0.57985,                0.52588,                0.51932,                0.30115,                 1.5039,                 1.8051,                 1.9682,              0.0079804,              0.0079804,              0.0079804
                    104,                 1.1998,                 1.3015,                 1.4916,                0.59719,                0.54588,                0.52489,                0.26797,                  1.599,                 1.7902,                  2.044,              0.0079606,              0.0079606,              0.0079606
                    105,                 1.2641,                 1.3764,                 1.5394,                0.51715,                0.63018,                0.59003,                0.30287,                  1.559,                 1.7609,                 1.9841,              0.0079408,              0.0079408,              0.0079408
                    106,                 1.2292,                 1.3499,                 1.4957,                 0.6253,                0.63783,                0.61147,                0.34248,                 1.4734,                 1.6079,                 1.8774,               0.007921,               0.007921,               0.007921
                    107,                 1.1747,                  1.313,                 1.4552,                 0.5749,                0.61529,                0.54846,                0.30683,                 1.5654,                 1.6384,                 1.9594,              0.0079012,              0.0079012,              0.0079012
                    108,                 1.2298,                 1.3775,                 1.4882,                0.53396,                0.62125,                0.54061,                  0.293,                 1.5269,                 1.6016,                 1.9354,              0.0078814,              0.0078814,              0.0078814
